Attrition,age,BusinessTravel,Department,gender,JobSatisfaction,monthlyincome,overtime,Age_Band
No,35,Travel_Rarely,Research & Development,Male,4,1951,No,Experienced(30-50)
No,27,Travel_Rarely,Research & Development,Female,1,2341,No,Rookie(below 30)
Yes,26,Travel_Rarely,Research & Development,Male,3,2293,No,Rookie(below 30)
No,27,Travel_Frequently,Sales,Male,3,8726,No,Rookie(below 30)
No,30,Travel_Frequently,Research & Development,Female,4,4011,No,Rookie(below 30)
Yes,41,Travel_Rarely,Research & Development,Female,3,19545,No,Experienced(30-50)
No,34,Non-Travel,Sales,Male,3,4568,No,Experienced(30-50)
No,37,Travel_Rarely,Research & Development,Male,2,3022,No,Experienced(30-50)
No,46,Travel_Frequently,Sales,Male,4,5772,Yes,Experienced(30-50)
No,35,Travel_Rarely,Research & Development,Male,4,2269,No,Experienced(30-50)
Yes,48,Travel_Rarely,Research & Development,Male,3,5381,Yes,Experienced(30-50)
Yes,28,Travel_Rarely,Research & Development,Male,3,3441,Yes,Rookie(below 30)
No,44,Travel_Rarely,Sales,Female,1,5454,Yes,Experienced(30-50)
No,35,Non-Travel,Research & Development,Male,1,9884,Yes,Experienced(30-50)
No,26,Travel_Rarely,Sales,Female,4,4157,Yes,Rookie(below 30)
No,33,Travel_Frequently,Research & Development,Female,4,13458,Yes,Experienced(30-50)
No,35,Travel_Frequently,Sales,Male,1,9069,No,Experienced(30-50)
No,35,Travel_Rarely,Research & Development,Female,1,4014,Yes,Experienced(30-50)
No,31,Travel_Rarely,Research & Development,Male,4,5915,No,Experienced(30-50)
No,37,Travel_Rarely,Research & Development,Male,3,5993,No,Experienced(30-50)
No,32,Travel_Rarely,Research & Development,Male,4,6162,Yes,Experienced(30-50)
No,38,Travel_Frequently,Research & Development,Female,4,2406,No,Experienced(30-50)
No,50,Travel_Rarely,Research & Development,Female,3,18740,Yes,Experienced(30-50)
No,59,Travel_Rarely,Sales,Female,1,7637,No,Senior(50-60)
No,36,Travel_Rarely,Research & Development,Female,3,10096,No,Experienced(30-50)
No,55,Travel_Rarely,Research & Development,Female,3,14756,Yes,Senior(50-60)
No,36,Travel_Frequently,Research & Development,Male,2,6499,No,Experienced(30-50)
No,45,Travel_Rarely,Research & Development,Male,1,9724,No,Experienced(30-50)
No,35,Travel_Frequently,Research & Development,Male,1,2194,No,Experienced(30-50)
Yes,36,Travel_Rarely,Research & Development,Male,3,3388,Yes,Experienced(30-50)
No,59,Travel_Frequently,Sales,Female,3,5473,No,Senior(50-60)
No,29,Travel_Rarely,Research & Development,Male,2,2703,No,Rookie(below 30)
No,31,Travel_Rarely,Research & Development,Male,2,2501,No,Experienced(30-50)
No,32,Travel_Rarely,Research & Development,Male,2,6220,No,Experienced(30-50)
No,36,Travel_Rarely,Research & Development,Female,4,3038,No,Experienced(30-50)
No,31,Travel_Rarely,Research & Development,Female,4,4424,No,Experienced(30-50)
No,35,Travel_Rarely,Sales,Male,1,4312,No,Experienced(30-50)
No,45,Travel_Rarely,Research & Development,Male,1,13245,Yes,Experienced(30-50)
No,37,Travel_Rarely,Research & Development,Male,3,13664,No,Experienced(30-50)
No,46,Travel_Rarely,Human Resources,Male,2,5021,Yes,Experienced(30-50)
No,30,Travel_Rarely,Research & Development,Male,4,5126,Yes,Rookie(below 30)
No,35,Travel_Rarely,Research & Development,Male,3,2859,No,Experienced(30-50)
No,55,Travel_Rarely,Sales,Male,4,10239,No,Senior(50-60)
No,38,Non-Travel,Research & Development,Female,4,5329,Yes,Experienced(30-50)
No,34,Travel_Rarely,Research & Development,Male,2,4325,No,Experienced(30-50)
No,56,Travel_Rarely,Research & Development,Male,4,7260,No,Senior(50-60)
No,23,Travel_Rarely,Sales,Male,1,2322,No,Rookie(below 30)
No,51,Travel_Rarely,Research & Development,Male,4,2075,No,Senior(50-60)
No,30,Travel_Rarely,Research & Development,Male,4,4152,No,Rookie(below 30)
Yes,46,Travel_Rarely,Sales,Male,4,9619,No,Experienced(30-50)
No,40,Travel_Frequently,Research & Development,Male,2,13503,No,Experienced(30-50)
No,51,Travel_Rarely,Sales,Male,4,5441,Yes,Senior(50-60)
No,30,Travel_Rarely,Sales,Female,2,5209,Yes,Rookie(below 30)
No,46,Travel_Frequently,Research & Development,Male,1,10673,Yes,Experienced(30-50)
No,32,Travel_Rarely,Sales,Male,3,5010,No,Experienced(30-50)
No,54,Travel_Rarely,Research & Development,Female,3,13549,No,Senior(50-60)
No,24,Travel_Rarely,Sales,Female,3,4999,No,Rookie(below 30)
No,28,Non-Travel,Sales,Male,3,4221,No,Rookie(below 30)
No,58,Travel_Rarely,Sales,Male,3,13872,No,Senior(50-60)
No,44,Non-Travel,Research & Development,Male,2,2042,No,Experienced(30-50)
Yes,37,Travel_Rarely,Human Resources,Male,1,2073,Yes,Experienced(30-50)
No,32,Travel_Rarely,Research & Development,Male,1,2956,No,Experienced(30-50)
Yes,20,Travel_Frequently,Research & Development,Female,4,2926,Yes,Rookie(below 30)
No,34,Travel_Rarely,Research & Development,Female,3,4809,No,Experienced(30-50)
No,37,Non-Travel,Research & Development,Male,4,5163,No,Experienced(30-50)
No,59,Non-Travel,Human Resources,Female,4,18844,No,Senior(50-60)
No,50,Travel_Frequently,Research & Development,Female,2,18172,Yes,Experienced(30-50)
Yes,25,Travel_Rarely,Sales,Male,3,5744,Yes,Rookie(below 30)
No,25,Travel_Rarely,Research & Development,Male,4,2889,No,Rookie(below 30)
No,22,Travel_Rarely,Research & Development,Female,4,2871,No,Rookie(below 30)
No,51,Travel_Frequently,Research & Development,Female,1,7484,No,Senior(50-60)
Yes,34,Travel_Frequently,Research & Development,Male,3,6074,Yes,Experienced(30-50)
No,54,Non-Travel,Human Resources,Female,4,17328,Yes,Senior(50-60)
No,24,Travel_Rarely,Research & Development,Male,3,2774,No,Rookie(below 30)
No,34,Travel_Rarely,Research & Development,Female,2,4505,No,Experienced(30-50)
No,37,Travel_Rarely,Sales,Male,4,7428,No,Experienced(30-50)
No,34,Travel_Rarely,Research & Development,Female,1,11631,No,Experienced(30-50)
No,36,Travel_Frequently,Sales,Female,4,9738,No,Experienced(30-50)
No,36,Travel_Rarely,Research & Development,Female,4,2835,No,Experienced(30-50)
No,43,Travel_Frequently,Sales,Male,4,16959,Yes,Experienced(30-50)
No,30,Travel_Frequently,Research & Development,Male,3,2613,No,Rookie(below 30)
No,33,Non-Travel,Sales,Male,2,6146,No,Experienced(30-50)
Yes,56,Travel_Rarely,Research & Development,Female,2,4963,Yes,Senior(50-60)
No,51,Travel_Rarely,Research & Development,Male,3,19537,No,Senior(50-60)
Yes,31,Travel_Rarely,Sales,Male,3,6172,Yes,Experienced(30-50)
No,26,Travel_Rarely,Research & Development,Female,2,2368,No,Rookie(below 30)
Yes,58,Travel_Rarely,Research & Development,Female,4,10312,No,Senior(50-60)
Yes,19,Travel_Rarely,Sales,Male,3,1675,Yes,Rookie(below 30)
No,22,Travel_Rarely,Research & Development,Male,4,2523,No,Rookie(below 30)
No,49,Travel_Rarely,Research & Development,Female,1,6567,No,Experienced(30-50)
No,43,Travel_Frequently,Research & Development,Female,3,4739,No,Experienced(30-50)
No,50,Travel_Frequently,Sales,Female,4,9208,No,Experienced(30-50)
Yes,31,Travel_Rarely,Sales,Female,3,4559,Yes,Experienced(30-50)
No,41,Travel_Rarely,Sales,Male,3,8189,Yes,Experienced(30-50)
No,26,Travel_Rarely,Human Resources,Female,3,2942,No,Rookie(below 30)
No,36,Travel_Rarely,Research & Development,Male,2,4941,No,Experienced(30-50)
Yes,51,Travel_Frequently,Research & Development,Male,4,10650,No,Senior(50-60)
No,39,Travel_Rarely,Sales,Female,3,5902,No,Experienced(30-50)
No,25,Travel_Rarely,Sales,Male,3,8639,No,Rookie(below 30)
No,30,Travel_Rarely,Human Resources,Male,4,6347,Yes,Rookie(below 30)
Yes,32,Travel_Rarely,Research & Development,Female,1,4200,No,Experienced(30-50)
No,45,Travel_Rarely,Research & Development,Male,4,3452,No,Experienced(30-50)
No,38,Travel_Rarely,Research & Development,Female,3,4317,Yes,Experienced(30-50)
No,30,Travel_Rarely,Research & Development,Female,3,2632,No,Rookie(below 30)
No,32,Travel_Frequently,Sales,Male,4,4668,No,Experienced(30-50)
No,30,Travel_Rarely,Research & Development,Female,1,3204,No,Rookie(below 30)
No,30,Travel_Rarely,Research & Development,Male,4,2720,No,Rookie(below 30)
No,41,Travel_Frequently,Research & Development,Male,1,17181,No,Experienced(30-50)
No,41,Travel_Rarely,Research & Development,Male,1,2238,No,Experienced(30-50)
No,19,Travel_Rarely,Research & Development,Female,2,1483,No,Rookie(below 30)
No,40,Travel_Frequently,Research & Development,Female,2,5605,No,Experienced(30-50)
No,35,Travel_Rarely,Sales,Male,2,7295,No,Experienced(30-50)
No,53,Travel_Rarely,Sales,Male,3,2306,Yes,Senior(50-60)
No,45,Travel_Rarely,Research & Development,Male,2,2348,No,Experienced(30-50)
No,32,Travel_Frequently,Sales,Female,4,8998,No,Experienced(30-50)
No,29,Non-Travel,Research & Development,Male,3,4319,No,Rookie(below 30)
No,51,Travel_Rarely,Research & Development,Male,3,6132,No,Senior(50-60)
No,58,Travel_Rarely,Research & Development,Female,2,3346,Yes,Senior(50-60)
No,40,Travel_Rarely,Sales,Male,4,10855,No,Experienced(30-50)
No,34,Travel_Frequently,Sales,Female,3,2231,No,Experienced(30-50)
No,22,Travel_Rarely,Research & Development,Male,4,2323,No,Rookie(below 30)
No,27,Non-Travel,Research & Development,Male,2,2024,No,Rookie(below 30)
No,28,Travel_Rarely,Research & Development,Male,4,2713,No,Rookie(below 30)
No,57,Travel_Rarely,Research & Development,Male,4,9439,Yes,Senior(50-60)
No,27,Non-Travel,Research & Development,Male,3,2566,Yes,Rookie(below 30)
No,50,Travel_Rarely,Research & Development,Female,2,19926,No,Experienced(30-50)
No,41,Travel_Rarely,Research & Development,Male,3,2451,No,Experienced(30-50)
No,30,Travel_Rarely,Sales,Female,4,9419,No,Rookie(below 30)
No,38,Travel_Rarely,Sales,Female,4,8686,No,Experienced(30-50)
No,32,Travel_Rarely,Research & Development,Male,3,3038,No,Experienced(30-50)
No,27,Travel_Rarely,Research & Development,Male,2,3058,Yes,Rookie(below 30)
Yes,19,Travel_Frequently,Sales,Female,1,2325,No,Rookie(below 30)
No,36,Travel_Frequently,Research & Development,Male,2,2088,No,Experienced(30-50)
No,30,Non-Travel,Research & Development,Male,1,3072,No,Rookie(below 30)
No,45,Travel_Rarely,Sales,Female,1,5006,Yes,Experienced(30-50)
No,56,Travel_Rarely,Research & Development,Female,1,4257,Yes,Senior(50-60)
No,33,Travel_Rarely,Research & Development,Male,4,2500,No,Experienced(30-50)
Yes,19,Travel_Rarely,Research & Development,Male,4,1102,No,Rookie(below 30)
No,46,Travel_Rarely,Sales,Female,1,10453,No,Experienced(30-50)
No,38,Travel_Rarely,Research & Development,Female,4,2288,No,Experienced(30-50)
No,31,Travel_Rarely,Research & Development,Female,4,3929,Yes,Experienced(30-50)
No,34,Travel_Rarely,Research & Development,Female,2,2311,No,Experienced(30-50)
Yes,41,Travel_Rarely,Sales,Female,2,3140,Yes,Experienced(30-50)
No,50,Travel_Rarely,Research & Development,Male,3,3690,No,Experienced(30-50)
No,53,Travel_Rarely,Research & Development,Female,1,4450,No,Senior(50-60)
No,33,Travel_Rarely,Research & Development,Female,2,2756,No,Experienced(30-50)
No,40,Travel_Rarely,Research & Development,Female,3,19033,No,Experienced(30-50)
No,55,Travel_Rarely,Research & Development,Male,2,18722,No,Senior(50-60)
No,34,Travel_Frequently,Research & Development,Male,3,9547,No,Experienced(30-50)
No,51,Travel_Rarely,Research & Development,Female,2,13734,No,Senior(50-60)
No,52,Travel_Rarely,Research & Development,Male,3,19999,No,Senior(50-60)
No,27,Travel_Rarely,Research & Development,Female,2,2279,No,Rookie(below 30)
Yes,35,Travel_Rarely,Research & Development,Male,3,5916,Yes,Experienced(30-50)
No,43,Non-Travel,Research & Development,Male,4,2089,No,Experienced(30-50)
No,45,Non-Travel,Research & Development,Male,4,16792,No,Experienced(30-50)
No,37,Travel_Rarely,Research & Development,Male,1,3564,Yes,Experienced(30-50)
No,35,Travel_Frequently,Research & Development,Female,2,4425,No,Experienced(30-50)
No,42,Non-Travel,Research & Development,Female,3,5265,No,Experienced(30-50)
No,38,Travel_Rarely,Research & Development,Male,3,6553,No,Experienced(30-50)
No,38,Travel_Rarely,Research & Development,Male,4,6261,No,Experienced(30-50)
No,27,Travel_Frequently,Research & Development,Male,1,4298,No,Rookie(below 30)
No,49,Non-Travel,Research & Development,Male,4,6804,Yes,Experienced(30-50)
No,34,Travel_Frequently,Research & Development,Male,3,3815,Yes,Experienced(30-50)
No,40,Travel_Rarely,Research & Development,Male,4,2741,Yes,Experienced(30-50)
Yes,38,Travel_Rarely,Research & Development,Male,1,6673,Yes,Experienced(30-50)
Yes,29,Travel_Rarely,Sales,Female,4,7639,No,Rookie(below 30)
No,22,Travel_Rarely,Research & Development,Male,2,2328,Yes,Rookie(below 30)
No,36,Travel_Frequently,Research & Development,Female,4,2153,No,Experienced(30-50)
No,40,Non-Travel,Research & Development,Male,4,4876,No,Experienced(30-50)
No,46,Travel_Rarely,Research & Development,Male,1,9396,No,Experienced(30-50)
Yes,32,Travel_Rarely,Sales,Male,4,10400,No,Experienced(30-50)
No,30,Non-Travel,Research & Development,Male,3,8474,No,Rookie(below 30)
No,27,Travel_Frequently,Sales,Female,3,9981,No,Rookie(below 30)
No,51,Travel_Rarely,Research & Development,Male,2,12490,No,Senior(50-60)
Yes,30,Travel_Rarely,Research & Development,Female,1,2657,Yes,Rookie(below 30)
No,41,Travel_Rarely,Sales,Female,4,13591,Yes,Experienced(30-50)
Yes,30,Travel_Frequently,Sales,Female,1,6696,No,Rookie(below 30)
Yes,29,Travel_Rarely,Research & Development,Male,3,2058,No,Rookie(below 30)
No,45,Non-Travel,Sales,Female,4,8865,No,Experienced(30-50)
No,54,Travel_Rarely,Sales,Female,1,5940,No,Senior(50-60)
No,36,Travel_Rarely,Research & Development,Male,2,5914,No,Experienced(30-50)
No,33,Travel_Rarely,Research & Development,Female,2,2622,No,Experienced(30-50)
No,37,Travel_Frequently,Research & Development,Male,4,12185,Yes,Experienced(30-50)
No,38,Travel_Rarely,Sales,Male,3,10609,No,Experienced(30-50)
No,31,Non-Travel,Research & Development,Male,3,4345,No,Experienced(30-50)
No,59,Travel_Rarely,Research & Development,Male,4,2177,No,Senior(50-60)
No,37,Travel_Frequently,Sales,Male,4,2793,No,Experienced(30-50)
No,29,Travel_Frequently,Sales,Female,4,7918,No,Rookie(below 30)
No,35,Travel_Frequently,Sales,Female,3,8789,No,Experienced(30-50)
Yes,29,Travel_Rarely,Research & Development,Male,4,2389,Yes,Rookie(below 30)
No,52,Travel_Rarely,Research & Development,Female,4,3212,No,Senior(50-60)
No,42,Travel_Rarely,Research & Development,Male,4,19232,No,Experienced(30-50)
No,59,Travel_Rarely,Human Resources,Male,3,2267,No,Senior(50-60)
No,50,Travel_Rarely,Sales,Female,4,19517,No,Experienced(30-50)
Yes,33,Travel_Rarely,Research & Development,Male,4,2436,Yes,Experienced(30-50)
No,43,Travel_Rarely,Sales,Female,4,16064,Yes,Experienced(30-50)
Yes,33,Travel_Rarely,Research & Development,Female,1,2707,No,Experienced(30-50)
No,52,Non-Travel,Sales,Male,3,19068,Yes,Senior(50-60)
No,32,Travel_Rarely,Sales,Female,2,3931,No,Experienced(30-50)
Yes,32,Travel_Rarely,Research & Development,Male,3,3730,Yes,Experienced(30-50)
No,39,Travel_Rarely,Research & Development,Female,3,2232,No,Experienced(30-50)
No,32,Non-Travel,Sales,Male,4,4465,No,Experienced(30-50)
No,41,Travel_Rarely,Research & Development,Male,1,3072,No,Experienced(30-50)
No,40,Travel_Rarely,Research & Development,Male,4,3319,No,Experienced(30-50)
No,45,Travel_Rarely,Research & Development,Male,4,19202,No,Experienced(30-50)
No,31,Travel_Frequently,Research & Development,Male,3,13675,No,Experienced(30-50)
No,33,Travel_Rarely,Research & Development,Female,4,2911,No,Experienced(30-50)
No,34,Travel_Rarely,Research & Development,Male,1,5957,No,Experienced(30-50)
No,37,Travel_Rarely,Research & Development,Female,1,3920,No,Experienced(30-50)
No,45,Travel_Frequently,Research & Development,Male,3,6434,No,Experienced(30-50)
Yes,37,Travel_Frequently,Research & Development,Male,3,10048,No,Experienced(30-50)
No,39,Travel_Frequently,Research & Development,Female,3,10938,No,Experienced(30-50)
No,29,Travel_Rarely,Research & Development,Male,4,2340,No,Rookie(below 30)
No,42,Travel_Rarely,Research & Development,Female,1,6545,Yes,Experienced(30-50)
No,29,Travel_Rarely,Sales,Male,4,6931,No,Rookie(below 30)
No,25,Travel_Rarely,Research & Development,Female,3,4898,No,Rookie(below 30)
No,42,Travel_Rarely,Research & Development,Female,1,2593,Yes,Experienced(30-50)
No,40,Travel_Rarely,Research & Development,Male,3,19436,No,Experienced(30-50)
No,51,Travel_Rarely,Research & Development,Male,4,2723,No,Senior(50-60)
Yes,31,Travel_Frequently,Research & Development,Male,2,3479,No,Experienced(30-50)
No,32,Travel_Frequently,Research & Development,Male,2,2794,No,Experienced(30-50)
No,38,Non-Travel,Sales,Male,4,5249,No,Experienced(30-50)
No,32,Travel_Rarely,Research & Development,Male,1,2176,No,Experienced(30-50)
No,46,Travel_Rarely,Sales,Female,2,16872,Yes,Experienced(30-50)
Yes,28,Travel_Rarely,Research & Development,Male,3,3485,No,Rookie(below 30)
No,29,Travel_Rarely,Sales,Male,2,6644,No,Rookie(below 30)
No,31,Travel_Rarely,Research & Development,Male,4,5582,No,Experienced(30-50)
No,25,Non-Travel,Research & Development,Male,1,4000,No,Rookie(below 30)
No,45,Travel_Rarely,Research & Development,Male,4,13496,Yes,Experienced(30-50)
No,36,Travel_Rarely,Research & Development,Male,4,3210,No,Experienced(30-50)
No,55,Travel_Rarely,Research & Development,Male,1,19045,Yes,Senior(50-60)
Yes,47,Non-Travel,Research & Development,Male,2,11849,Yes,Experienced(30-50)
No,28,Travel_Rarely,Research & Development,Male,4,2070,No,Rookie(below 30)
No,37,Travel_Rarely,Sales,Male,4,6502,No,Experienced(30-50)
No,21,Travel_Rarely,Research & Development,Male,3,3230,No,Rookie(below 30)
No,37,Non-Travel,Research & Development,Female,4,13603,Yes,Experienced(30-50)
No,35,Travel_Rarely,Research & Development,Female,2,11996,No,Experienced(30-50)
No,38,Travel_Rarely,Sales,Female,1,5605,Yes,Experienced(30-50)
No,26,Travel_Frequently,Research & Development,Female,2,6397,No,Rookie(below 30)
No,50,Travel_Rarely,Research & Development,Male,2,19144,No,Experienced(30-50)
No,53,Travel_Rarely,Research & Development,Male,3,17584,Yes,Senior(50-60)
No,42,Travel_Rarely,Sales,Male,3,4907,No,Experienced(30-50)
No,29,Travel_Frequently,Sales,Male,4,4554,No,Rookie(below 30)
No,55,Travel_Rarely,Research & Development,Male,4,5415,Yes,Senior(50-60)
No,26,Travel_Frequently,Research & Development,Male,1,4741,Yes,Rookie(below 30)
No,37,Travel_Rarely,Research & Development,Female,4,2115,No,Experienced(30-50)
Yes,44,Travel_Frequently,Research & Development,Male,3,3161,Yes,Experienced(30-50)
No,38,Travel_Rarely,Research & Development,Male,4,5745,No,Experienced(30-50)
Yes,26,Travel_Rarely,Research & Development,Male,2,2373,Yes,Rookie(below 30)
No,28,Travel_Rarely,Research & Development,Female,4,3310,No,Rookie(below 30)
No,49,Travel_Frequently,Research & Development,Female,1,18665,Yes,Experienced(30-50)
No,36,Travel_Rarely,Research & Development,Male,2,4485,No,Experienced(30-50)
No,31,Travel_Frequently,Sales,Female,2,2789,No,Experienced(30-50)
Yes,26,Travel_Rarely,Sales,Male,4,5828,Yes,Rookie(below 30)
No,37,Travel_Frequently,Research & Development,Male,4,2326,Yes,Experienced(30-50)
No,42,Travel_Frequently,Sales,Female,2,13525,No,Experienced(30-50)
Yes,18,Travel_Rarely,Research & Development,Male,3,1420,No,Rookie(below 30)
No,35,Travel_Rarely,Sales,Male,2,8020,No,Experienced(30-50)
No,36,Travel_Frequently,Research & Development,Male,4,3688,No,Experienced(30-50)
No,51,Travel_Rarely,Research & Development,Male,2,5482,No,Senior(50-60)
No,41,Travel_Rarely,Sales,Male,2,16015,No,Experienced(30-50)
No,18,Travel_Rarely,Sales,Female,3,1200,No,Rookie(below 30)
No,28,Travel_Rarely,Research & Development,Male,1,5661,No,Rookie(below 30)
No,31,Travel_Rarely,Sales,Male,4,6929,No,Experienced(30-50)
No,39,Travel_Rarely,Research & Development,Male,4,9613,No,Experienced(30-50)
No,36,Non-Travel,Research & Development,Female,2,5674,No,Experienced(30-50)
No,32,Travel_Rarely,Sales,Male,3,5484,No,Experienced(30-50)
No,38,Travel_Rarely,Research & Development,Female,2,12061,No,Experienced(30-50)
No,58,Non-Travel,Research & Development,Male,3,5660,Yes,Senior(50-60)
No,31,Travel_Rarely,Research & Development,Male,4,4821,Yes,Experienced(30-50)
No,31,Travel_Rarely,Human Resources,Male,1,6410,No,Experienced(30-50)
No,45,Travel_Frequently,Research & Development,Male,1,5210,No,Experienced(30-50)
No,31,Travel_Rarely,Research & Development,Male,4,2695,Yes,Experienced(30-50)
No,33,Travel_Frequently,Research & Development,Female,2,11878,No,Experienced(30-50)
No,39,Travel_Rarely,Research & Development,Male,1,17068,Yes,Experienced(30-50)
No,43,Travel_Frequently,Research & Development,Female,4,2455,No,Experienced(30-50)
No,49,Travel_Rarely,Research & Development,Female,3,13964,Yes,Experienced(30-50)
Yes,52,Travel_Rarely,Research & Development,Male,2,4941,No,Senior(50-60)
No,27,Travel_Rarely,Research & Development,Female,2,2478,Yes,Rookie(below 30)
No,32,Travel_Rarely,Sales,Female,2,5228,Yes,Experienced(30-50)
No,27,Travel_Rarely,Sales,Male,3,4478,Yes,Rookie(below 30)
No,31,Travel_Rarely,Sales,Male,4,7547,No,Experienced(30-50)
No,32,Travel_Rarely,Research & Development,Female,4,5055,No,Experienced(30-50)
Yes,28,Travel_Rarely,Research & Development,Male,4,3464,Yes,Rookie(below 30)
No,30,Travel_Rarely,Research & Development,Female,4,5775,No,Rookie(below 30)
No,31,Travel_Frequently,Research & Development,Female,3,8943,No,Experienced(30-50)
No,39,Travel_Frequently,Research & Development,Male,4,19272,No,Experienced(30-50)
Yes,39,Travel_Rarely,Sales,Female,3,5238,Yes,Experienced(30-50)
No,33,Travel_Frequently,Sales,Male,4,4682,No,Experienced(30-50)
No,47,Travel_Rarely,Research & Development,Male,3,18300,No,Experienced(30-50)
No,43,Travel_Frequently,Research & Development,Female,3,5257,No,Experienced(30-50)
No,27,Non-Travel,Sales,Male,2,6349,Yes,Rookie(below 30)
No,54,Travel_Frequently,Research & Development,Female,3,4869,No,Senior(50-60)
No,43,Travel_Rarely,Research & Development,Female,1,9985,No,Experienced(30-50)
No,45,Travel_Rarely,Research & Development,Male,4,3697,No,Experienced(30-50)
No,40,Travel_Rarely,Sales,Male,4,7457,Yes,Experienced(30-50)
Yes,29,Travel_Rarely,Research & Development,Male,1,2119,Yes,Rookie(below 30)
No,29,Travel_Rarely,Research & Development,Male,4,3983,No,Rookie(below 30)
No,30,Travel_Rarely,Sales,Female,3,6118,No,Rookie(below 30)
No,27,Travel_Rarely,Sales,Female,2,6214,No,Rookie(below 30)
No,37,Travel_Rarely,Research & Development,Male,4,6347,No,Experienced(30-50)
No,38,Travel_Rarely,Research & Development,Male,4,11510,Yes,Experienced(30-50)
No,31,Travel_Rarely,Research & Development,Female,4,7143,Yes,Experienced(30-50)
No,29,Travel_Rarely,Sales,Female,2,8268,Yes,Rookie(below 30)
No,35,Travel_Rarely,Research & Development,Male,2,8095,No,Experienced(30-50)
No,23,Travel_Rarely,Research & Development,Male,4,2904,No,Rookie(below 30)
No,41,Travel_Rarely,Research & Development,Male,2,6032,Yes,Experienced(30-50)
No,47,Travel_Frequently,Sales,Male,3,2976,No,Experienced(30-50)
No,42,Travel_Rarely,Research & Development,Female,4,15992,No,Experienced(30-50)
No,29,Non-Travel,Sales,Male,3,4649,No,Rookie(below 30)
No,42,Travel_Rarely,Human Resources,Male,3,2696,Yes,Experienced(30-50)
No,32,Travel_Rarely,Research & Development,Female,2,2370,No,Experienced(30-50)
No,48,Travel_Rarely,Sales,Female,3,12504,No,Experienced(30-50)
No,37,Travel_Rarely,Research & Development,Male,1,5974,Yes,Experienced(30-50)
No,30,Non-Travel,Sales,Female,3,4736,Yes,Rookie(below 30)
No,26,Travel_Rarely,Sales,Male,3,5296,No,Rookie(below 30)
